	=subtotal(109,B3:B3)										Total	Unique	Corrected	
2948.0	1	sp|P47123|MOG1_YEAST	 	26.1	218	24307	Nuclear import protein MOG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MOG1 PE=1 SV=1	11	11	1.000	11	11	11.000	 
2949.0	1	sp|P47124|HOC1_YEAST	 	30.3	396	46296	Putative glycosyltransferase HOC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HOC1 PE=1 SV=3	32	32	1.000	32	32	32.000	 
2950.0	1	sp|P47125|I23O_YEAST	 	30.9	453	50775	Indoleamine 2,3-dioxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BNA2 PE=1 SV=1	37	37	1.000	37	37	37.000	 
2951.0	1	sp|P47127|AIM24_YEAST	 	50.0	394	44427	Altered inheritance of mitochondria protein 24, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM24 PE=1 SV=1	49	49	1.000	49	49	49.000	 
2952.0	1	sp|P47128|EAF6_YEAST	 	28.3	113	12895	Chromatin modification-related protein EAF6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EAF6 PE=1 SV=1	5	5	1.000	5	5	5.000	 
2953.0	1	sp|P47129|ACF4_YEAST	 	36.2	309	35520	Assembly-complementing factor 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACF4 PE=1 SV=1	22	22	1.000	22	22	22.000	 
2954.0	1	sp|P47130|CSN12_YEAST	 	34.3	423	49482	Cop9 signalosome complex subunit 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CSN12 PE=1 SV=1	28	28	1.000	28	28	28.000	 
2955.0	1	sp|P47133|EMC2_YEAST	 	39.4	292	33855	ER membrane protein complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EMC2 PE=1 SV=1	29	29	1.000	29	29	29.000	 
2956.0	1	sp|P47134|BIR1_YEAST	 	14.2	954	108666	Protein BIR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BIR1 PE=1 SV=1	16	16	1.000	16	16	16.000	 
2957.0	1	sp|P47135|JSN1_YEAST	 	16.1	1091	120373	Protein JSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=JSN1 PE=1 SV=1	28	28	1.000	28	28	28.000	 
2958.0	1	sp|P47136|BUD4_YEAST	 	13.1	1447	164484	Bud site selection protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BUD4 PE=1 SV=2	20	20	1.000	20	20	20.000	 
2959.0	1	sp|P47137|YJ66_YEAST	 	62.1	282	32344	Uncharacterized oxidoreductase YJR096W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR096W PE=1 SV=1	33	33	1.000	33	33	33.000	 
2960.0	1	sp|P47139|YJ68_YEAST	 	19.4	656	74234	Uncharacterized protein YJR098C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR098C PE=1 SV=2	19	19	1.000	19	19	19.000	 
2961.0	1	sp|P47140|AIM25_YEAST	 	33.3	327	37479	Altered inheritance rate of mitochondria protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM25 PE=1 SV=1	13	13	1.000	13	13	13.000	 
2962.0	1	sp|P47141|RT26_YEAST	 	21.8	266	30223	37S ribosomal protein S26, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RSM26 PE=1 SV=1	14	14	1.000	14	14	14.000	 
2963.0	1	sp|P47142|VPS25_YEAST	 	17.3	202	23557	Vacuolar protein-sorting-associated protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS25 PE=1 SV=1	5	5	1.000	5	5	5.000	 
2964.0	1	sp|P47143|ADK_YEAST	 	41.5	340	36372	Adenosine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADO1 PE=1 SV=1	107	103	0.963	107	103	105.728	sp|P04821|CDC25_YEAST, sp|P47143|ADK_YEAST
2965.0	1	sp|P47144|ECM27_YEAST	 	4.7	725	80656	Protein ECM27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ECM27 PE=1 SV=2	4	4	1.000	4	4	4.000	 
2966.0	1	sp|P47147|YMR1_YEAST	 	22.8	688	80151	Phosphoinositide 3-phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YMR1 PE=1 SV=1	29	29	1.000	29	29	29.000	 
2967.0	1	sp|P47148|YJ81_YEAST	 	37.5	283	32208	Uncharacterized protein YJR111C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR111C PE=1 SV=1	25	25	1.000	25	25	25.000	 
2968.0	1	sp|P47149|NNF1_YEAST	 	17.4	201	23639	Kinetochore-associated protein NNF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NNF1 PE=1 SV=3	5	5	1.000	5	5	5.000	 
2969.0	1	sp|P47150|RT07_YEAST	 	43.7	247	27816	37S ribosomal protein S7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RSM7 PE=1 SV=1	17	17	1.000	17	17	17.000	 
2970.0	1	sp|P47154|STE24_YEAST	 	30.0	453	52323	CAAX prenyl protease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE24 PE=1 SV=1	60	60	1.000	60	60	60.000	 
2971.0	1	sp|P47155|ILM1_YEAST	 	33.0	203	23644	Protein ILM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILM1 PE=1 SV=1	37	37	1.000	37	37	37.000	 
2972.0	1	sp|P47156|JHD2_YEAST	 	15.1	728	84983	Histone demethylase JHD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=JHD2 PE=1 SV=1	17	17	1.000	17	17	17.000	 
2973.0	1	sp|P47158|CAF17_YEAST	 	20.5	497	57054	Putative transferase CAF17, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IBA57 PE=1 SV=1	18	18	1.000	18	18	18.000	 
2974.0	1	sp|P47159|YJ94_YEAST	 	3.8	448	49663	Uncharacterized membrane protein YJR124C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR124C PE=1 SV=1	4	4	1.000	4	4	4.000	 
2975.0	1	sp|P47160|ENT3_YEAST	 	37.3	408	45091	Epsin-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENT3 PE=1 SV=1	43	43	1.000	43	43	43.000	 
2976.0	1	sp|P47161|VPS70_YEAST	 	5.1	811	92017	Vacuolar protein sorting-associated protein 70 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS70 PE=1 SV=1	2	2	1.000	2	2	2.000	 
2977.0	1	sp|P47163|EFM3_YEAST	 	10.0	339	39023	Protein-lysine N-methyltransferase EFM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFM3 PE=1 SV=2	5	5	1.000	5	5	5.000	 
2978.0	1	sp|P47164|MET7_YEAST	 	30.4	639	72350	Cystathionine gamma-synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STR2 PE=1 SV=1	37	37	1.000	37	37	37.000	 
2979.0	1	sp|P47165|XPT1_YEAST	 	24.9	209	23671	Xanthine phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=XPT1 PE=1 SV=1	16	16	1.000	16	16	16.000	 
2980.0	1	sp|P47166|SGM1_YEAST	 	29.7	707	81170	Protein SGM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SGM1 PE=1 SV=1	29	29	1.000	29	29	29.000	 
2981.0	1	sp|P47167|CENPK_YEAST	 	17.6	239	27567	Inner kinetochore subunit MCM22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MCM22 PE=1 SV=1	6	6	1.000	6	6	6.000	 
2982.0	1	sp|P47168|TTI2_YEAST	 	21.4	421	48648	TEL2-interacting protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TTI2 PE=1 SV=1	18	18	1.000	18	18	18.000	 
2983.0	1	sp|P47169|MET5_YEAST	 	31.2	1442	161217	Sulfite reductase [NADPH] subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET5 PE=1 SV=1	89	85	0.955	89	85	86.828	sp|P32565|RPN2_YEAST, sp|P47169|MET5_YEAST
2984.0	1	sp|P47170|IML1_YEAST	 	23.5	1584	181947	Vacuolar membrane-associated protein IML1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IML1 PE=1 SV=1	59	59	1.000	59	59	59.000	 
2985.0	1	sp|P47171|HIR3_YEAST	 	21.1	1648	191678	Histone transcription regulator 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIR3 PE=1 SV=1	59	59	1.000	59	59	59.000	 
2986.0	1	sp|P47172|YJ9I_YEAST	 	15.0	347	39901	Uncharacterized protein YJR141W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR141W PE=4 SV=1	5	5	1.000	5	5	5.000	 
2987.0	1	sp|P47173|YJ9J_YEAST	 	35.1	342	39690	Uncharacterized protein YJR142W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR142W PE=1 SV=1	31	31	1.000	31	31	31.000	 
2988.0	1	sp|P47176|BCA2_YEAST	 	51.1	376	41624	Branched-chain-amino-acid aminotransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BAT2 PE=1 SV=1	56	39	0.696	56	39	46.129	sp|P38891|BCA1_YEAST, sp|P47176|BCA2_YEAST
2989.0	1	sp|P47177|2NDP_YEAST	 	29.5	404	45158	Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2	22	22	1.000	22	22	22.000	 
2990.0	1	sp|P47181|YJ9S_YEAST	 	37.6	346	38972	Uncharacterized protein YJR154W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR154W PE=1 SV=1	24	24	1.000	24	24	24.000	 
2991.0	1	sp|P47187|COS5_YEAST	 	12.5	383	45708	Protein COS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COS5 PE=1 SV=1	8	1	0.125	8	1	4.733	sp|P38723|COS8_YEAST, sp|P47187|COS5_YEAST, sp|P53344|COS6_YEAST, sp|P53822|COS1_YEAST
2992.0	1	sp|P47190|PMT3_YEAST	 	25.4	753	86322	Dolichyl-phosphate-mannose--protein mannosyltransferase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMT3 PE=1 SV=2	41	33	0.805	41	33	35.000	sp|P31382|PMT2_YEAST, sp|P47190|PMT3_YEAST
2993.0	1	sp|P47771|ALDH2_YEAST	 	44.3	506	55187	Aldehyde dehydrogenase [NAD(P)+] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALD2 PE=1 SV=2	87	31	0.356	87	31	52.432	sp|P47771|ALDH2_YEAST, sp|P54114|ALDH3_YEAST
2994.0	1	sp|P47818|CCC1_YEAST	 	32.3	322	34249	Protein CCC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCC1 PE=1 SV=1	30	30	1.000	30	30	30.000	 
2995.0	1	sp|P47822|MED21_YEAST	 	38.6	140	16071	Mediator of RNA polymerase II transcription subunit 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRB7 PE=1 SV=1	11	11	1.000	11	11	11.000	 
2996.0	1	sp|P47912|LCF4_YEAST	 	29.4	694	77266	Long-chain-fatty-acid--CoA ligase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAA4 PE=1 SV=1	56	49	0.875	56	49	52.005	sp|P30624|LCF1_YEAST, sp|P39002|LCF3_YEAST, sp|P47912|LCF4_YEAST
2997.0	1	sp|P47976|CTH1_YEAST	 	5.8	325	36772	mRNA decay factor CTH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTH1 PE=1 SV=2	2	2	1.000	2	2	2.000	 
2998.0	1	sp|P47977|CTH2_YEAST	 	7.4	285	32314	mRNA decay factor CTH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIS11 PE=1 SV=1	3	3	1.000	3	3	3.000	 
2999.0	1	sp|P47988|TEA1_YEAST	 	13.6	759	86832	TY1 enhancer activator OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEA1 PE=1 SV=2	14	14	1.000	14	14	14.000	 
3000.0	1	sp|P48015|GCST_YEAST	 	45.0	400	44468	Aminomethyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCV1 PE=1 SV=2	45	45	1.000	45	45	45.000	 
3001.0	1	sp|P48016|ATH1_YEAST	 	11.2	1211	136919	Vacuolar acid trehalase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATH1 PE=1 SV=1	26	26	1.000	26	26	26.000	 
3002.0	1	sp|P48164|RS7B_YEAST	 	53.7	190	21634	40S ribosomal protein S7-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS7B PE=1 SV=1	50	11	0.220	50	11	27.500	sp|P26786|RS7A_YEAST, sp|P48164|RS7B_YEAST
3003.0	1	sp|P48231|TCB2_YEAST	 	23.9	1178	132508	Tricalbin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TCB2 PE=1 SV=1	51	49	0.961	51	49	49.478	sp|P48231|TCB2_YEAST, sp|Q12466|TCB1_YEAST
3004.0	1	sp|P48232|SNAPN_YEAST	 	23.5	102	11461	Biogenesis of lysosome-related organelles complex 1 subunit SNN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNN1 PE=1 SV=1	8	8	1.000	8	8	8.000	 
3005.0	1	sp|P48234|NOL10_YEAST	 	20.1	707	81733	Ribosome biogenesis protein ENP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENP2 PE=1 SV=2	31	31	1.000	31	31	31.000	 
3006.0	1	sp|P48236|YG3L_YEAST	 	21.5	432	51646	Uncharacterized membrane protein YGR149W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR149W PE=1 SV=1	20	20	1.000	20	20	20.000	 
3007.0	1	sp|P48237|CCM1_YEAST	 	17.2	864	101421	Mitochondrial group I intron splicing factor CCM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCM1 PE=1 SV=1	25	25	1.000	25	25	25.000	 
3008.0	1	sp|P48239|GTO1_YEAST	 	35.4	356	41300	Glutathione S-transferase omega-like 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GTO1 PE=1 SV=1	17	17	1.000	17	17	17.000	 
3009.0	1	sp|P48240|MTR3_YEAST	 	15.2	250	27577	Exosome complex component MTR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MTR3 PE=1 SV=1	10	10	1.000	10	10	10.000	 
3010.0	1	sp|P48353|HLJ1_YEAST	 	18.3	224	25008	Protein HLJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HLJ1 PE=1 SV=1	6	6	1.000	6	6	6.000	 
3011.0	1	sp|P48360|ADRO_YEAST	 	26.4	493	56237	Probable NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARH1 PE=1 SV=1	32	32	1.000	32	32	32.000	 
3012.0	1	sp|P48361|ASK10_YEAST	 	19.6	1146	126862	Activator of SKN7 protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASK10 PE=1 SV=2	44	36	0.818	44	36	39.344	REV_Q06108, sp|P48361|ASK10_YEAST, sp|Q06108|RGC1_YEAST
3013.0	1	sp|P48362|HGH1_YEAST	 	31.0	394	44951	Protein HGH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HGH1 PE=1 SV=2	38	38	1.000	38	38	38.000	 
3014.0	1	sp|P48363|PFD3_YEAST	 	23.6	199	23115	Prefoldin subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAC10 PE=1 SV=1	7	7	1.000	7	7	7.000	 
3015.0	1	sp|P48365|GYP7_YEAST	 	29.0	746	87305	GTPase-activating protein GYP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GYP7 PE=1 SV=1	52	52	1.000	52	52	52.000	 
3016.0	1	sp|P48412|UPF3_YEAST	 	32.3	387	44924	Nonsense-mediated mRNA decay protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UPF3 PE=1 SV=1	21	21	1.000	21	21	21.000	 
3017.0	1	sp|P48415|SEC16_YEAST	 	32.8	2195	241693	COPII coat assembly protein SEC16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC16 PE=1 SV=2	133	133	1.000	133	133	133.000	 
3018.0	1	sp|P48439|OST3_YEAST	 	19.4	350	39483	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OST3 PE=1 SV=1	21	21	1.000	21	21	21.000	 
3019.0	1	sp|P48445|BPL1_YEAST	 	38.0	690	76362	Biotin--protein ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BPL1 PE=1 SV=1	53	53	1.000	53	53	53.000	 
3020.0	1	sp|P48510|DSK2_YEAST	 	25.7	373	39345	Ubiquitin domain-containing protein DSK2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DSK2 PE=1 SV=2	19	19	1.000	19	19	19.000	 
3021.0	1	sp|P48524|BUL1_YEAST	 	22.2	976	109173	Ubiquitin ligase-binding protein BUL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BUL1 PE=1 SV=1	36	35	0.972	36	35	35.686	sp|P48524|BUL1_YEAST, sp|Q03758|BUL2_YEAST
3022.0	1	sp|P48525|SYEM_YEAST	 	17.9	536	61603	Glutamate--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSE1 PE=1 SV=2	12	12	1.000	12	12	12.000	 
3023.0	1	sp|P48526|SYIM_YEAST	 	28.7	1002	115792	Isoleucine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISM1 PE=1 SV=2	35	35	1.000	35	35	35.000	 
3024.0	1	sp|P48527|SYYM_YEAST	 	25.0	492	55287	Tyrosine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSY1 PE=1 SV=1	23	23	1.000	23	23	23.000	 
3025.0	1	sp|P48558|BXI1_YEAST	 	8.1	297	33645	Bax inhibitor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BXI1 PE=1 SV=1	9	9	1.000	9	9	9.000	 
3026.0	1	sp|P48559|YPT11_YEAST	 	34.1	417	47115	GTP-binding protein YPT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPT11 PE=1 SV=2	16	16	1.000	16	16	16.000	 
3027.0	1	sp|P48561|TRF5_YEAST	 	10.0	642	74179	Poly(A) RNA polymerase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRF5 PE=1 SV=2	8	4	0.500	8	4	4.457	sp|P48561|TRF5_YEAST, sp|P53632|PAP2_YEAST
3028.0	1	sp|P48562|CLA4_YEAST	 	31.5	842	93908	Serine/threonine-protein kinase CLA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CLA4 PE=1 SV=1	33	33	1.000	33	33	33.000	 
3029.0	1	sp|P48563|MON2_YEAST	 	34.0	1636	186834	Protein MON2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MON2 PE=1 SV=1	99	99	1.000	99	99	99.000	 
3030.0	1	sp|P48564|MRX6_YEAST	 	5.2	524	61227	MIOREX complex component 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRX6 PE=1 SV=1	3	3	1.000	3	3	3.000	 
3031.0	1	sp|P48566|GYP3_YEAST	 	24.2	633	72998	GTPase-activating protein GYP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSB3 PE=1 SV=1	33	30	0.909	33	30	31.837	sp|P48566|GYP3_YEAST, sp|Q12317|MSB4_YEAST
3032.0	1	sp|P48567|PUS4_YEAST	 	21.6	403	45273	tRNA pseudouridine synthase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PUS4 PE=1 SV=1	17	17	1.000	17	17	17.000	 
3033.0	1	sp|P48569|YD183_YEAST	 	24.1	320	37047	Uncharacterized protein YDL183C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDL183C PE=4 SV=1	17	17	1.000	17	17	17.000	 
3034.0	1	sp|P48570|HOSC_YEAST	 	46.3	428	47098	Homocitrate synthase, cytosolic isozyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LYS20 PE=1 SV=1	79	18	0.228	79	18	52.312	sp|P48570|HOSC_YEAST, sp|Q12122|HOSM_YEAST
3035.0	1	sp|P48581|RAD17_YEAST	 	8.5	401	45579	DNA damage checkpoint control protein RAD17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAD17 PE=1 SV=1	4	4	1.000	4	4	4.000	 
3036.0	1	sp|P48582|BRO1_YEAST	 	47.4	844	97275	Vacuolar-sorting protein BRO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BRO1 PE=1 SV=2	73	73	1.000	73	73	73.000	 
3037.0	1	sp|P48589|RS12_YEAST	 	46.2	143	15471	40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS12 PE=1 SV=1	58	58	1.000	58	58	58.000	 
3038.0	1	sp|P48606|TBCA_YEAST	 	53.8	106	12379	Tubulin-specific chaperone A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RBL2 PE=1 SV=1	28	28	1.000	28	28	28.000	 
3039.0	1	sp|P48743|RFX1_YEAST	 	11.6	811	90583	RFX-like DNA-binding protein RFX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RFX1 PE=1 SV=2	11	11	1.000	11	11	11.000	 
3040.0	1	sp|P48813|GNP1_YEAST	 	16.4	663	73597	High-affinity glutamine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GNP1 PE=1 SV=2	27	27	1.000	27	27	27.000	 
3041.0	1	sp|P48836|VATG_YEAST	 	44.7	114	12713	V-type proton ATPase subunit G OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA10 PE=1 SV=1	36	36	1.000	36	36	36.000	 
3042.0	1	sp|P48837|NUP57_YEAST	 	16.6	541	57498	Nucleoporin NUP57 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP57 PE=1 SV=1	24	24	1.000	24	24	24.000	 
3043.0	1	sp|P49017|COQ5_YEAST	 	41.7	307	34684	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COQ5 PE=1 SV=1	43	43	1.000	43	43	43.000	 
3044.0	1	sp|P49018|GPI8_YEAST	 	20.4	411	47402	GPI-anchor transamidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPI8 PE=1 SV=1	15	15	1.000	15	15	15.000	 
3045.0	1	sp|P49089|ASNS1_YEAST	 	37.8	572	64470	Asparagine synthetase [glutamine-hydrolyzing] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASN1 PE=1 SV=2	91	70	0.769	91	70	78.802	sp|P49089|ASNS1_YEAST, sp|P49090|ASNS2_YEAST
3046.0	1	sp|P49090|ASNS2_YEAST	 	48.1	572	64592	Asparagine synthetase [glutamine-hydrolyzing] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASN2 PE=1 SV=2	118	97	0.822	118	97	109.198	sp|P49089|ASNS1_YEAST, sp|P49090|ASNS2_YEAST
3047.0	1	sp|P49095|GCSP_YEAST	 	36.0	1034	114450	Glycine dehydrogenase (decarboxylating), mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCV2 PE=1 SV=1	60	60	1.000	60	60	60.000	 
3048.0	1	sp|P49166|RL37A_YEAST	 	47.7	88	9850	60S ribosomal protein L37-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL37A PE=1 SV=2	37	29	0.784	37	29	34.395	sp|P49166|RL37A_YEAST, sp|P51402|RL37B_YEAST
3049.0	1	sp|P49167|RL38_YEAST	 	48.7	78	8826	60S ribosomal protein L38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL38 PE=1 SV=1	20	20	1.000	20	20	20.000	 
3050.0	1	sp|P49334|TOM22_YEAST	 	29.6	152	16790	Mitochondrial import receptor subunit TOM22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM22 PE=1 SV=3	15	15	1.000	15	15	15.000	 
3051.0	1	sp|P49367|LYS4_YEAST	 	22.2	693	75150	Homoaconitase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LYS4 PE=1 SV=1	19	19	1.000	19	19	19.000	 
3052.0	1	sp|P49435|APT1_YEAST	 	31.6	187	20587	Adenine phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APT1 PE=1 SV=3	19	19	1.000	19	19	19.000	 
3053.0	1	sp|P49573|CTR1_YEAST	 	15.0	406	44441	Copper transport protein CTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTR1 PE=1 SV=1	11	11	1.000	11	11	11.000	 
3054.0	1	sp|P49686|NUP42_YEAST	 	20.0	430	42778	Nucleoporin NUP42 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP42 PE=1 SV=1	6	6	1.000	6	6	6.000	 
