New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri Jan 18 13:51:14 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_CarbonSources	Unique_CarbonSources	Corrected_CarbonSources	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources	TotInt_131N_CarbonSources	TotInt_131C_CarbonSources
2645	1	sp|P40892|YJV8_YEAST	 	 	 	 	11.2	196	21479	Putative acetyltransferase YJL218W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJL218W PE=1 SV=1	2	2	1.000	2	2	2.000	2	12527.082519	12849.790527	18643.278076	40388.169433	38095.070922	32228.965027	15786.360352	15387.381775	14630.541565	150.0	150.0
2646	1	sp|P40893|REE1_YEAST	 	 	 	 	49.0	198	21966	Regulation of enolase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=REE1 PE=1 SV=1	20	20	1.000	20	20	20.000	20	6291397.28906	5422325.39411	6603348.33032	5245863.34375	5634933.42725	5374236.15723	4979224.81763	4164308.98035	4529625.50769	153211.293062	125679.340058
2647	1	sp|P40917|YAP4_YEAST	 	 	 	 	11.2	295	32975	AP-1-like transcription factor YAP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIN5 PE=1 SV=1	5	5	1.000	5	5	5.000	5	181458.009766	174986.392578	179466.210938	199602.873047	190660.863282	207565.849608	327358.328124	278688.854492	320334.006836	10022.492433	6865.460143
2648	1	sp|P40955|CHS6_YEAST	 	 	 	 	29.5	746	86041	Chitin biosynthesis protein CHS6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHS6 PE=1 SV=1	31	31	1.000	31	31	31.000	31	2919421.3125	2344593.19873	2666760.34106	2412105.85987	2044611.12842	2207123.07178	2945072.73706	2452779.88184	2909266.9668	74027.872011	54943.75412
2649	1	sp|P40956|GTS1_YEAST	 	 	 	 	27.5	396	44406	Protein GTS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GTS1 PE=1 SV=2	36	36	1.000	36	36	36.000	36	8325123.0166	7942422.40918	9268667.21973	6391601.48389	6507956.04981	6427330.97754	7870478.08008	6865695.82813	7395506.28857	235873.197387	179414.842776
2650	1	sp|P40957|MAD1_YEAST	 	 	 	 	31.0	749	87650	Spindle assembly checkpoint component MAD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAD1 PE=1 SV=1	42	42	1.000	42	42	42.000	42	6268034.27954	6214275.61816	6664353.21118	4937921.17871	4678263.48779	4504089.8999	5253059.16846	4419723.63184	5319044.55518	122116.747161	100455.583619
2651	1	sp|P40958|MAD2_YEAST	 	 	 	 	41.8	196	22284	Mitotic spindle checkpoint component MAD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAD2 PE=1 SV=1	16	16	1.000	16	16	16.000	16	8090741.02808	5931502.729	7159645.31738	4722209.97022	4026683.96509	4346353.229	7245690.34107	5295273.05981	7467785.4563	201518.045104	167473.337005
2652	1	sp|P40959|MVP1_YEAST	 	 	sp|P35194|UTP20_YEAST, sp|P40959|MVP1_YEAST	 	36.0	511	59656	Sorting nexin MVP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MVP1 PE=1 SV=2	50	45	0.900	50	45	46.131	45	6595884.99744	5836162.17505	6583072.98071	4419112.62207	4049922.5249	4263040.93262	6466859.27173	5525001.32276	6375304.07568	210820.306883	153757.179413
2653	1	sp|P40960|PAC11_YEAST	 	 	 	 	8.8	533	60073	WD repeat-containing protein PAC11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAC11 PE=1 SV=2	8	8	1.000	8	8	8.000	8	506205.722657	522244.812501	565459.453126	557084.535157	521953.874024	541958.262695	528076.674805	479476.395508	515834.441406	17391.377563	11007.495483
2654	1	sp|P40961|PHB1_YEAST	 	 	 	 	54.0	287	31427	Prohibitin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHB1 PE=1 SV=2	42	42	1.000	42	42	42.000	42	4205583.2594	3884983.39344	4505730.55176	4080275.46265	4345044.95966	3951643.68793	7766884.88062	6902927.91516	7486832.0965	205470.783445	170523.942445
2655	1	sp|P40962|RTS2_YEAST	 	 	 	 	20.3	232	27053	Zinc finger protein RTS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RTS2 PE=1 SV=1	13	13	1.000	13	13	13.000	13	1865302.30371	1818500.93652	2132592.37109	1277587.34668	1152069.11231	1206294.62305	2181399.26367	1808916.65625	2172744.60937	55808.1279	50280.490175
2656	1	sp|P40963|SAS2_YEAST	 	 	 	 	11.2	338	39206	Histone acetyltransferase SAS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAS2 PE=1 SV=1	4	4	1.000	4	4	4.000	4	61134.306641	58105.445801	60605.762696	80717.996093	74762.924804	77368.766601	51847.716796	47113.234376	52763.909668	577.856018	410.564026
2657	1	sp|P40968|PRP17_YEAST	 	 	 	 	15.6	455	52047	Pre-mRNA-processing factor 17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC40 PE=1 SV=2	9	9	1.000	9	9	9.000	9	491472.023193	502445.144776	524540.514159	613319.626953	625455.710937	613270.654297	754991.360351	665778.428711	683455.62793	12622.71167	8974.102235
2658	1	sp|P40969|CBF3B_YEAST	 	 	sp|P14164|ABF1_YEAST, sp|P40969|CBF3B_YEAST	 	19.7	608	71357	Centromere DNA-binding protein complex CBF3 subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CEP3 PE=1 SV=1	18	15	0.833	18	15	15.978	15	1045308.49658	869052.604979	967458.981445	899628.354005	815845.78125	816188.798339	971879.520021	856673.678467	1002497.20508	31031.816803	24196.11975
2659	1	sp|P40970|LCB2_YEAST	 	 	 	 	37.6	561	63110	Serine palmitoyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LCB2 PE=1 SV=1	49	49	1.000	49	49	49.000	49	14440403.0249	12613734.4672	14532708.4009	12588947.4027	12188725.7119	11727157.4753	12454924.7956	10636366.5684	12300539.9514	277163.505648	208536.748077
2660	1	sp|P40971|LYS14_YEAST	 	 	 	 	9.4	790	89396	Lysine biosynthesis regulatory protein LYS14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LYS14 PE=1 SV=2	10	10	1.000	10	10	10.000	10	711512.899414	638637.693848	665217.560547	521601.617188	472004.80713	458963.313965	409659.790526	346250.933107	383918.678224	9500.897125	5356.366149
2661	1	sp|P40985|HUL4_YEAST	 	 	 	 	5.7	892	103455	Probable E3 ubiquitin-protein ligase HUL4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HUL4 PE=1 SV=2	6	6	1.000	6	6	6.000	6	1199025.88525	1134937.89002	1179508.15686	1744765.91916	1764262.58258	2018452.45245	1319846.9823	1258758.62457	1160473.23852	49630.013305	29525.221649
2662	1	sp|P40986|CDC1_YEAST	 	 	 	 	40.9	491	57147	Cell division control protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC1 PE=1 SV=2	49	49	1.000	49	49	49.000	49	6781515.95239	5648758.77466	6331713.95056	3742825.86957	3324262.10089	3552605.71313	5894472.75677	5136556.32288	6002335.43372	153317.071841	133997.899688
2663	1	sp|P40987|CIN1_YEAST	 	 	 	 	23.0	1014	116646	Chromosome instability protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIN1 PE=1 SV=1	33	33	1.000	33	33	33.000	33	1997436.14868	2052330.05225	1931314.73047	1609101.18262	1407876.56518	1510733.62915	1610763.37744	1494645.55957	1598516.41407	44489.788604	29044.097382
2664	1	sp|P40988|FET4_YEAST	 	 	 	 	18.5	552	62791	Low-affinity Fe(2+) transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FET4 PE=1 SV=2	20	20	1.000	20	20	20.000	20	5650000.45117	4554518.9834	5439918.92578	1040578.53906	891658.239746	785653.145022	1089049.67407	980317.65332	1110521.89893	32183.105162	27060.687255
2665	1	sp|P40989|FKS2_YEAST	 	 	sp|P38631|FKS1_YEAST, sp|P40989|FKS2_YEAST, sp|Q04952|FKS3_YEAST	 	32.1	1895	216987	1,3-beta-glucan synthase component GSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GSC2 PE=1 SV=2	185	79	0.427	185	79	131.000	79	5009169.96381	4396737.55542	4758030.69446	2885468.73618	2604967.1955	2667687.92789	6054402.98914	5469427.53827	6147892.62482	155139.636321	107566.132476
2666	1	sp|P40990|MSS2_YEAST	 	 	 	 	32.8	351	41476	Protein MSS2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSS2 PE=1 SV=2	25	25	1.000	25	25	25.000	25	3737734.97022	2893790.22363	3450105.69678	2356542.36524	2260451.61035	2240019.50098	3056504.8291	2451231.2666	2831141.53223	77382.992005	62125.331148
2667	1	sp|P40991|NOP2_YEAST	 	 	 	 	44.2	618	69811	25S rRNA (cytosine(2870)-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP2 PE=1 SV=1	95	95	1.000	95	95	95.000	95	6673922.42896	6406585.66095	7248369.85345	10698271.7582	10883008.2422	10821282.0988	7361752.85321	6342689.76477	6642700.91022	147716.425874	95414.397096
2668	1	sp|P40992|RRN7_YEAST	 	 	 	 	8.4	514	60357	RNA polymerase I-specific transcription initiation factor RRN7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RRN7 PE=1 SV=1	3	3	1.000	3	3	3.000	3	54373.405273	60785.730469	62662.861328	61072.813477	52724.425782	53869.724609	135093.997071	120144.9375	126838.829102	5158.425476	4087.96875
2669	1	sp|P40993|RMRP_YEAST	 	 	 	 	20.7	198	22541	Ribonuclease MRP protein subunit SNM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNM1 PE=1 SV=1	4	4	1.000	4	4	4.000	4	70027.683838	73009.691406	78992.150147	92566.336426	86494.006348	91265.262696	89528.423096	79639.406494	87758.659181	3342.380432	2079.951751
2670	1	sp|P40994|ARF3_YEAST	 	 	 	 	45.4	183	20696	ADP-ribosylation factor 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARF3 PE=1 SV=2	18	18	1.000	18	18	18.000	18	1172740.07764	1116309.3833	1248583.21582	1111746.22803	940389.686767	990081.443849	2185935.12598	1941184.17383	2083734.26856	44137.784545	33563.633056
2671	1	sp|P41056|RL33B_YEAST	 	 	sp|P05744|RL33A_YEAST, sp|P41056|RL33B_YEAST	 	47.7	107	12168	60S ribosomal protein L33-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL33B PE=1 SV=2	51	7	0.137	51	7	29.000	7	146242.24707	136837.093262	168428.803224	427894.105468	440704.632812	421293.462892	148624.61621	134427.012207	121151.975098	5343.698485	1551.966614
2672	1	sp|P41057|RS29A_YEAST	 	 	 	 	44.6	56	6661	40S ribosomal protein S29-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS29A PE=1 SV=3	12	12	1.000	12	12	12.000	12	6942723.19946	6484141.06055	9219406.68115	8963979.47852	9042004.94629	8128185.9375	8498908.00781	6962647.33398	7237178.31055	123317.792603	83832.256471
2673	1	sp|P41058|RS29B_YEAST	 	 	 	 	57.1	56	6728	40S ribosomal protein S29-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS29B PE=1 SV=3	15	15	1.000	15	15	15.000	15	44952664.209	43678749.5791	51060713.2871	45756437.8848	51808162.4492	49918255.459	49061454.7168	43239264.9839	48572229.231	1530699.9259	1355536.53091
2674	1	sp|P41277|GPP1_YEAST	 	 	sp|P40106|GPP2_YEAST, sp|P41277|GPP1_YEAST	 	50.0	250	27947	Glycerol-1-phosphate phosphohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPP1 PE=1 SV=3	63	50	0.794	63	50	58.228	50	11565424.009	12082455.405	14329969.8303	39628207.2534	46879510.2792	47195874.1519	8594815.63855	7618483.25329	5808323.48456	233728.653565	149367.423004
2675	1	sp|P41318|LST8_YEAST	 	 	 	 	26.1	303	34034	Target of rapamycin complex subunit LST8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LST8 PE=1 SV=1	10	10	1.000	10	10	10.000	10	859249.028321	731864.065429	847162.905274	988686.978516	917668.287109	932267.347656	480937.003418	430935.935546	441749.255859	12227.251678	5585.242737
2676	1	sp|P41338|THIL_YEAST	 	 	 	 	61.6	398	41728	Acetyl-CoA acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG10 PE=1 SV=3	85	85	1.000	85	85	85.000	85	8514136.53827	8620568.60474	10081669.0359	21526173.2891	21483403.406	20456609.1873	24241400.181	22537746.3895	20821974.9447	911247.067473	509451.86679
2677	1	sp|P41543|OST1_YEAST	 	 	 	 	34.9	476	54071	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OST1 PE=1 SV=1	35	35	1.000	35	35	35.000	35	7556199.83862	6789492.12195	7324658.35535	7425615.85107	5698526.75049	6720029.18774	8147249.95508	7283415.22974	7825544.77826	209495.615176	152209.46805
2678	1	sp|P41695|BUB1_YEAST	 	 	 	 	8.8	1021	117867	Checkpoint serine/threonine-protein kinase BUB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BUB1 PE=1 SV=2	8	8	1.000	8	8	8.000	8	483050.594727	452705.299316	465488.446776	339287.845215	286704.537598	302815.555665	338034.408692	309298.094238	345827.754883	11678.425903	6561.001648
2679	1	sp|P41696|AZF1_YEAST	 	 	 	 	20.8	914	101169	Asparagine-rich zinc finger protein AZF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AZF1 PE=1 SV=1	26	26	1.000	26	26	26.000	26	1315519.60473	1187807.10449	1316286.98346	1026659.362	992591.217896	1027897.80841	1724163.60889	1433728.1087	1662377.32566	49814.537139	41525.303132
2680	1	sp|P41697|BUD6_YEAST	 	 	 	 	36.2	788	88816	Bud site selection protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BUD6 PE=1 SV=1	53	53	1.000	53	53	53.000	53	4400327.68408	4309717.51123	4734941.49854	4121961.64112	3984336.98072	3999082.07984	4283974.61084	3574786.48792	3828026.64038	99737.418852	56316.129119
2681	1	sp|P41698|BUD8_YEAST	 	 	 	 	8.0	603	66288	Bud site selection protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BUD8 PE=1 SV=2	7	7	1.000	7	7	7.000	7	2188771.3252	1680062.0	1984127.80469	814150.079101	756292.526367	766215.425781	1330714.70996	1122706.35254	1327517.34473	32219.139008	28032.9021
2682	1	sp|P41733|CDC91_YEAST	 	 	 	 	7.6	394	44741	GPI transamidase component GAB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAB1 PE=1 SV=1	8	8	1.000	8	8	8.000	8	773030.484375	685514.379883	740860.205079	446081.298829	360510.601561	438408.344726	635456.211914	645286.005859	645878.015626	22306.322205	12127.497803
2683	1	sp|P41734|IAH1_YEAST	 	 	 	 	24.8	238	27346	Isoamyl acetate-hydrolyzing esterase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IAH1 PE=1 SV=1	12	12	1.000	12	12	12.000	12	3450148.84814	3825287.29736	4320757.5398	4485855.6665	4449741.0918	4432814.25195	6570896.53589	5176351.0813	5837039.90942	209282.203978	144944.587037
2684	1	sp|P41735|COQ7_YEAST	 	 	 	 	48.1	233	26059	5-demethoxyubiquinone hydroxylase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAT5 PE=1 SV=2	21	21	1.000	21	21	21.000	21	2761601.50293	2735884.68457	3345408.15479	3359003.14673	3082210.00635	2688533.37036	4386584.1377	3667899.73438	4218877.11523	100152.217742	80709.209715
2685	1	sp|P41800|MMM1_YEAST	 	 	 	 	16.0	426	48659	Maintenance of mitochondrial morphology protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MMM1 PE=1 SV=2	11	11	1.000	11	11	11.000	11	636395.742005	575449.356262	606524.383667	592812.861817	570934.770995	600846.490904	799851.609008	712132.823975	754877.279785	12014.623413	8325.653503
2686	1	sp|P41805|RL10_YEAST	 	 	 	 	56.1	221	25361	60S ribosomal protein L10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL10 PE=1 SV=1	84	84	1.000	84	84	84.000	84	49250609.9732	52436177.5884	58951599.7965	67176371.364	66567183.3928	66374818.4224	51020140.7683	44099109.2878	44938372.1052	1616892.06494	1138716.88504
2687	1	sp|P41807|VATH_YEAST	 	 	 	 	41.2	478	54415	V-type proton ATPase subunit H OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA13 PE=1 SV=1	64	64	1.000	64	64	64.000	64	18195210.4747	15643888.6417	19202074.1802	25823189.8179	25055938.6472	26011099.6609	17070256.6586	13422496.565	14861660.8262	381023.456911	258622.811096
2688	1	sp|P41810|COPB_YEAST	 	 	 	 	37.9	973	109018	Coatomer subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC26 PE=1 SV=2	94	94	1.000	94	94	94.000	94	14727684.5198	13106080.4114	15004983.5269	17953449.4502	17414889.0369	18185807.2744	15526415.4729	12717197.403	14457204.756	387704.909541	305424.299532
2689	1	sp|P41811|COPB2_YEAST	 	 	 	 	55.7	889	99444	Coatomer subunit beta' OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC27 PE=1 SV=1	187	187	1.000	187	187	187.000	187	34790674.1404	31551320.1219	35167382.9245	27536857.4625	24733417.7319	25740863.6316	28918155.2406	25615634.4169	28610001.8217	905980.37961	656792.381927
2690	1	sp|P41812|POP1_YEAST	 	 	 	 	10.7	875	100394	Ribonucleases P/MRP protein subunit POP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POP1 PE=1 SV=1	14	14	1.000	14	14	14.000	14	669499.601564	688395.959962	687012.960938	942414.882813	849256.674317	912140.00586	1015789.88379	975548.581055	981879.850587	29056.399263	22263.979463
2691	1	sp|P41813|FKH2_YEAST	 	 	sp|P39521|FHL1_YEAST, sp|P40466|FKH1_YEAST, sp|P41813|FKH2_YEAST	 	25.4	862	94373	Fork head protein homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FKH2 PE=1 SV=1	25	24	0.960	25	24	24.320	24	1359347.10431	1284866.78998	1521251.60712	1591734.60168	1509948.05163	1560694.59985	1239321.30029	1066203.98999	1111865.92603	26993.388428	15258.217254
2692	1	sp|P41814|TRM6_YEAST	 	 	 	 	26.6	478	54389	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCD10 PE=1 SV=1	17	17	1.000	17	17	17.000	17	1404028.0232	1201225.07483	1383610.86548	1305032.51465	1193534.75977	1285073.33838	1331571.44189	1143011.39551	1212018.09155	37237.139497	25005.737701
2693	1	sp|P41815|BAP3_YEAST	 	 	sp|P38084|BAP2_YEAST, sp|P41815|BAP3_YEAST	 	6.5	604	67364	Valine amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BAP3 PE=1 SV=2	8	5	0.625	8	5	5.556	5	203167.528809	175782.955078	191000.445558	286487.112305	229812.281738	263658.986816	118383.662353	114130.251708	110080.843262	975.773162	1170.23169
2694	1	sp|P41816|OYE3_YEAST	 	 	sp|P41816|OYE3_YEAST, sp|Q03558|OYE2_YEAST	 	43.0	400	44920	NADPH dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OYE3 PE=1 SV=2	38	28	0.737	38	28	29.152	28	6031821.17651	5171209.82337	5475335.34082	1796206.85608	1963384.24094	2146504.16714	6861757.84058	5766420.8241	6765210.79907	166492.220915	94149.258206
2695	1	sp|P41817|CUP9_YEAST	 	 	 	 	11.8	306	34653	Homeobox protein CUP9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CUP9 PE=1 SV=1	6	6	1.000	6	6	6.000	6	300089.580077	294962.95996	328095.275391	242456.742188	224669.926757	226184.583985	242636.285157	214768.82422	231891.976563	8278.182069	3738.501617
2696	1	sp|P41818|GLC8_YEAST	 	 	 	 	62.4	229	26649	Protein GLC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLC8 PE=1 SV=1	42	42	1.000	42	42	42.000	42	8130238.2207	7177361.66657	8309363.4483	3774159.85632	4624389.15295	4218181.3612	9727882.08887	7429445.68616	8642852.51855	186284.988645	159759.725648
2697	1	sp|P41819|DIM1_YEAST	 	 	 	 	39.0	318	35950	Dimethyladenosine transferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIM1 PE=3 SV=1	22	22	1.000	22	22	22.000	22	2761096.9043	2741122.38678	3346370.16016	6283404.11084	7349800.27783	6836946.75049	3307751.18237	2636491.82251	2674128.98187	93196.947203	73168.393892
2698	1	sp|P41832|BNI1_YEAST	 	 	 	 	20.2	1953	219670	Protein BNI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BNI1 PE=1 SV=3	65	65	1.000	65	65	65.000	65	6633579.05835	5987525.85657	7116190.77619	5359013.7052	5041868.48779	4926491.89814	5615045.9364	4477010.07556	5148417.21912	116035.276854	85037.708159
2699	1	sp|P41834|UFE1_YEAST	 	 	 	 	40.2	346	40539	Syntaxin UFE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UFE1 PE=1 SV=2	32	32	1.000	32	32	32.000	32	1306480.10645	1133966.4275	1228884.61939	1044233.03894	901390.639284	946786.406985	1305414.62622	1169328.00977	1289743.16529	37523.806944	31201.18228
2700	1	sp|P41835|THI6_YEAST	 	 	 	 	29.3	540	58058	Thiamine biosynthetic bifunctional enzyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THI6 PE=3 SV=1	23	23	1.000	23	23	23.000	23	995241.850464	878021.057189	985357.533144	2275572.12305	2325958.56372	2336132.05151	916430.221984	819785.423951	828985.625123	27104.25653	20898.580261
2701	1	sp|P41895|T2FA_YEAST	 	 	 	 	38.6	735	82193	Transcription initiation factor IIF subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TFG1 PE=1 SV=2	70	70	1.000	70	70	70.000	70	16760659.6544	15809911.5476	17476676.8416	12549868.4584	13673844.033	13164958.3679	13102304.4557	11334083.3853	12462990.1047	386923.666079	311404.734253
2702	1	sp|P41896|T2FB_YEAST	 	 	 	 	27.2	400	46605	Transcription initiation factor IIF subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TFG2 PE=1 SV=2	25	25	1.000	25	25	25.000	25	13038025.4341	11321605.4895	13075184.6453	9569165.51978	9338586.6499	9248567.75244	10361967.9229	9124694.94238	10347616.3198	328232.646365	241899.603151
2703	1	sp|P41901|SPR3_YEAST	 	 	 	 	5.5	512	59844	Sporulation-regulated protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPR3 PE=1 SV=1	3	3	1.000	3	3	3.000	3	109033.324218	115713.982422	130486.0625	50002.265624	64764.401368	47828.3125	121905.926758	102897.180664	138813.490235	4002.447968	3295.830689
2704	1	sp|P41903|PTE1_YEAST	 	 	 	 	21.5	349	40259	Peroxisomal acyl-coenzyme A thioester hydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TES1 PE=1 SV=1	11	11	1.000	11	11	11.000	11	1127706.91357	973768.089845	1117592.37305	1407513.31641	1499476.75781	1323785.53125	2953937.51563	2335303.80274	2458174.35742	50535.301269	43650.533935
2705	1	sp|P41909|PXA1_YEAST	 	 	 	 	15.3	870	100024	Peroxisomal long-chain fatty acid import protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PXA1 PE=1 SV=2	17	17	1.000	17	17	17.000	17	902788.635745	866462.269043	907034.572265	835116.277342	871784.955566	874003.937988	3337511.1914	2745832.21289	3395252.52734	83782.675506	61697.667297
2706	1	sp|P41910|MAF1_YEAST	 	 	 	 	41.3	395	44732	Repressor of RNA polymerase III transcription MAF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAF1 PE=1 SV=1	24	24	1.000	24	24	24.000	24	1718984.29163	1509186.98425	1764821.15241	896554.019166	979158.757538	832755.00171	1454042.90991	1206149.99219	1401467.45746	40600.071288	29471.611329
2707	1	sp|P41911|GPD2_YEAST	 	 	sp|P41911|GPD2_YEAST, sp|Q00055|GPD1_YEAST	 	27.7	440	49421	Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPD2 PE=1 SV=2	30	26	0.867	30	26	27.020	26	3197085.19372	3175238.9632	3495584.87647	5551335.13141	5845859.13818	5834424.71509	3853581.91306	3295759.96649	3352440.08557	93429.268921	72499.476042
2708	1	sp|P41913|GDS1_YEAST	 	 	 	 	9.4	522	57048	Protein GDS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GDS1 PE=1 SV=1	6	6	1.000	6	6	6.000	6	323091.652344	344490.679687	391419.523437	565471.094727	554685.564452	565257.328124	563365.214843	489534.160157	505692.699219	14187.155028	11337.992188
2709	1	sp|P41920|YRB1_YEAST	 	 	 	 	36.8	201	22953	Ran-specific GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YRB1 PE=1 SV=1	32	32	1.000	32	32	32.000	32	9772494.13061	8283270.75196	10576694.4795	11300453.3511	14481186.812	12959265.8076	8724538.771	6230621.40088	7088185.90039	200657.493742	147600.8432
2710	1	sp|P41921|GSHR_YEAST	 	 	 	 	64.0	483	53440	Glutathione reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLR1 PE=1 SV=2	133	133	1.000	133	133	133.000	133	41337198.9796	34481220.6572	40534078.0968	26501744.7002	24484557.042	23034574.4841	37128916.9321	32270084.246	38791882.0859	897841.722715	736308.6319
